,title,artist,top genre,year,bpm,nrgy,dnce
369,Into You,Ariana Grande,dance pop,2016,108,73,62
370,This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63
371,Million Reasons,Lady Gaga,dance pop,2016,130,42,67
372,Needed Me,Rihanna,barbadian pop,2016,111,31,67
373,7 Years,Lukas Graham,danish pop,2016,120,47,77
374,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67
375,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80
376,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57
377,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63
378,Work,Rihanna,barbadian pop,2016,92,53,73
379,Stitches,Shawn Mendes,canadian pop,2016,150,75,75
380,"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66
382,Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66
383,Starving,Hailee Steinfeld,dance pop,2016,100,62,73
384,Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77
385,Electric Love,B�RNS,electropop,2016,120,80,61
386,Confident,Demi Lovato,dance pop,2016,130,75,59
387,Too Good,Drake,canadian hip hop,2016,118,65,79
388,Roses,The Chainsmokers,electropop,2016,100,80,71
389,Cold Water (feat. Justin Bieber),Major Lazer,dance pop,2016,93,80,61
390,Me Too,Meghan Trainor,dance pop,2016,124,69,93
391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75
392,Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76
393,Close,Nick Jonas,dance pop,2016,124,62,65
394,Toothbrush,DNCE,dance pop,2016,105,79,55
395,All We Know,The Chainsmokers,electropop,2016,90,59,66
396,Final Song,M�,dance pop,2016,105,67,70
397,Company,Justin Bieber,canadian pop,2016,95,80,59
398,Hands To Myself,Selena Gomez,dance pop,2016,111,50,81
399,All I Ask,Adele,british soul,2016,142,28,59
400,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,63
401,NO,Meghan Trainor,dance pop,2016,92,80,56
402,Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,76
403,Cool Girl,Tove Lo,dance pop,2016,102,69,67
404,Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,32
405,Here,Alessia Cara,canadian contemporary r&b,2016,120,82,38
406,Perfect Illusion,Lady Gaga,dance pop,2016,125,86,61
407,PILLOWTALK,ZAYN,dance pop,2016,125,70,59
408,Out Of The Woods,Taylor Swift,pop,2016,92,84,55
409,Rise,Katy Perry,dance pop,2016,101,64,55
410,Wherever I Go,OneRepublic,dance pop,2016,100,69,55
411,Body Say,Demi Lovato,dance pop,2016,87,74,63
412,Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47
413,LIKE I WOULD,ZAYN,dance pop,2016,113,83,56
414,Cheap Thrills,Sia,australian dance,2016,90,80,59
415,I Got You,Bebe Rexha,dance pop,2016,98,89,61
